Title,Description,Priority,Status,Labels
"ISS-1 · Privacy-mode local summary (gpt-oss-20b) OOM on long transcripts","Privacy Mode summary/actions crash with CUDA OutOfMemoryError (eager attention O(n^2) — tried to allocate 125 GiB) on long transcripts. gpt-oss-20b only supports eager attention in transformers, so the attention matrix [heads x seq x seq] blows up on long context. Mandatory: privacy is the client's condition (NDA workshops 3-4h). Regular Gemini summary handles 4h fine but is not private. Fix options: (1) map-reduce summary over chunks (model-agnostic, recommended); (2) swap to a long-context local model with flash attention (e.g. Qwen2.5-14B/32B int4). File: modal_app.py LabGPTOSS20B.generate / _llm_chat_generate.","Urgent","Todo","backend,privacy,long-recording"
"ISS-2 · One failed chunk kills the whole long recording (no per-chunk resilience)","A 4h recording failed ~15-20 min in. Upload was fine (130MB). Likely one of ~12 chunks crashed (OOM/exception) and the orchestrator calls call.get() without handling — the exception bubbles up and kills the entire job. Fix: wrap each call.get() in try/except in transcribe_long; if a chunk ultimately fails (after Modal retries), log and skip it (return transcript with one ~20-min gap) instead of losing the whole 4h job. File: modal_app.py transcribe_long.","Urgent","Todo","backend,long-recording,reliability"
"ISS-3 · 4h recording is slow (~30 min)","Two causes: (a) 10-GPU account limit -> 12 chunks run in 2 waves; (b) heavy Whisper settings (beam=3, best_of=3, 6-step temperature fallback). Fixes by impact: (1) dynamically size chunks to <= MAX_PARALLEL (10) so all run in one wave (~24-min chunks for 4h) -> ~2x, no quality loss; (2) lighter Whisper for long pipeline (beam=2, best_of=1, 3-step temp) -> ~2x, slight quality cost (user holding); (3) request higher Modal GPU concurrency limit (free). Files: modal_app.py _plan_chunk_boundaries, transcribe_chunk.","High","Todo","backend,long-recording,performance"
"ISS-4 · Timeouts may be too short for very long recordings","Frontend pollJob long timeout is 60 min (templates/index.html); orchestrator transcribe_long timeout is 7200s/2h (modal_app.py). Under GPU serialization a 4h+ job may exceed these. Bump: frontend 60->120 min, orchestrator 2h->4h. Safe change.","High","Todo","backend,frontend,long-recording"
"ISS-5 · Frontend processing-time estimate is misleading for long jobs","Processing screen PIPELINE_DEF estimates transcription as d/15 and diarization as d/10 (old monolithic formula). For the chunked parallel pipeline this is wrong and shows scary inflated minutes. Fix: for long mode compute estimate from chunk/wave count, or drop concrete minutes and rely on the existing 'chunk k/N' progress. File: templates/index.html.","High","Backlog","frontend,ux"
"ISS-6 · Summary used Ukrainian section headings on non-UA recordings (FIXED)","GENERATE_TEMPLATES hardcoded bilingual UA/EN section headings (Kontekst / Context) that leaked into every summary regardless of language, so a Polish/English call looked Ukrainian. Now headings are English labels in the spec plus an explicit instruction to render them in the transcript language (matching the body). Applies to Gemini and gpt-oss. Deployed. File: app.py GENERATE_TEMPLATES.","High","Done","backend"
"ISS-7 · Landing claimed only UA/EN languages, confused a Polish prospect (FIXED)","Landing copy said 'Ukrainian + English / UA . EN' and a fictional 'Ukrainian-tuned acoustic model', which confused a Polish prospect. Now 'Polish . EN . UA . RU', multilingual framing, EN + UA mirrors. Deployed via Vercel. File: landing/lib/content.ts.","High","Done","frontend,landing"
"ISS-8 · Speaker clustering merged similar voices (needs verify)","Global speaker clustering threshold lowered 0.7->0.55 (closer to wespeaker EER), embeddings L2-normalized before centroid mean, diagnostics added to logs. Deployed but NOT verified on a real 2-speaker call. On a long Polish lesson speakers stitched correctly. Verify on a 1-on-1 call; tune threshold via logs '[long] centroid_cos_dist min='. File: modal_app.py _speaker_centroids, transcribe_long.","High","Todo","backend,long-recording"
"ISS-9 · Whisper hallucinates on highly repetitive content","On a Polish language-lesson video (heavy phrase repetition) two segments produced multilingual gibberish (Chinese chars, Spanish, Italian). Rare on normal calls. Fix: add hallucination_silence_threshold to whisper.transcribe and tune; optionally make Gemini correction strip fully-garbage segments (currently conservative). File: modal_app.py transcribe_full/transcribe_chunk.","Medium","Backlog","backend,quality"
"ISS-10 · Landing redesign","User dislikes the current landing style; no concrete direction yet. Possible directions: align with Studio v2 (mint accent, Bricolage/Manrope, cinematic — see docs/DESIGN_V2.md) or a fresh direction. Possibly via Google Stitch. Discuss when ideas exist.","Medium","Backlog","frontend,landing,design"
"ISS-11 · Resumable upload for large files (>250MB)","Conditional. 130MB uploads fine. If large files hit Modal request-body limits, add resumable upload (Supabase Storage + tus, Modal fetches by URL). Phase 4 of long-recording work (see ROADMAP).","Low","Backlog","backend,infra"
"ISS-12 · Connect Linear for task tracking","Wire up Linear so tasks can be loaded there and Claude can see them. This CSV is the interim transfer; ongoing work moves to Linear.","Low","Backlog","infra"
